"Exhibit P-3a, Individual Modification: PB 2022 Army",,,,,,,,Date: May 2021,
Appropriation / Budget Activity / Budget Sub Activity: 2032A / 03 / 10,,,P-1 Line Item Number / Title: 0962C50700 / Patriot Mods,,,,,Modification Number / Title: C50700 / Patriot Mods,
"ID Code (A=Service Ready, B=Not Service Ready) :",,,,,MDAP/MAIS Code:,,,,
Models of Systems Affected: Various,,Modification Type: Various,,,,,Related RDT&E PEs:,,
Financial Plan,Prior Years,,FY 2020,FY 2021,,FY 2022 Base,,FY 2022 OCO,FY 2022 Total
,Qty (Each) / Total Cost ($ M),,Qty (Each) / Total Cost ($ M),Qty (Each) / Total Cost ($ M),,Qty (Each) / Total Cost ($ M),,Qty (Each) / Total Cost ($ M),Qty (Each) / Total Cost ($ M)
Modification Item 9 of 23: PATRIOT Maintenance Trainer (PMT),,,,,,,,,
A Kits,,,,,,,,,
Recurring,,,,,,,,,
Kit Quantity,6 / 87.941,,1 / 19.500,- / -,,- / -,,- / -,- / -
Subtotal: Recurring,6 / 87.941,,1 / 19.500,- / -,,- / -,,- / -,- / -
Non-Recurring,,,,,,,,,
Training Support,- / 4.000,,- / -,- / -,,- / -,,- / -,- / -
Subtotal: Non-Recurring,- / 4.000,,- / -,- / -,,- / -,,- / -,- / -
Subtotal: PATRIOT Maintenance Trainer (PMT),6 / 91.941,,1 / 19.500,- / -,,- / -,,- / -,- / -
Modification Item 10 of 23: PATRIOT Multi-Echelon Training (PMET),,,,,,,,,
A Kits,,,,,,,,,
Recurring,,,,,,,,,
Kit Quantity,20 / 26.180,,4 / 7.000,4 / 7.000,,3 / 6.000,,- / -,3 / 6.000
Subtotal: Recurring,20 / 26.180,,4 / 7.000,4 / 7.000,,3 / 6.000,,- / -,3 / 6.000
Subtotal: PATRIOT Multi-Echelon Training (PMET),20 / 26.180,,4 / 7.000,4 / 7.000,,3 / 6.000,,- / -,3 / 6.000
Modification Item 11 of 23: SNAP/TROPO,,,,,,,,,
A Kits,,,,,,,,,
Recurring,,,,,,,,,
Kit Quantity SNAP,6 / 0.830,,- / -,- / -,,- / -,,- / -,- / -
Support,- / 6.926,,- / 1.115,- / -,,- / -,,- / -,- / -
Integrated Logistics Support,- / 3.360,,- / 0.633,- / -,,- / -,,- / -,- / -
Training,- / 0.173,,- / 0.002,- / -,,- / -,,- / -,- / -
Equipment,- / 0.859,,- / -,- / -,,- / -,,- / -,- / -
Subtotal: Recurring,6 / 12.148,,- / 1.750,- / -,,- / -,,- / -,- / -
Non-Recurring,,,,,,,,,
Kit Quantity TROPO,26 / 12.884,,- / -,- / -,,- / -,,- / -,- / -
Subtotal: Non-Recurring,26 / 12.884,,- / -,- / -,,- / -,,- / -,- / -
Subtotal: SNAP/TROPO,32 / 25.032,,- / 1.750,- / -,,- / -,,- / -,- / -
Modification Item 12 of 23: Enhanced Launcher Electronics System (ELES),,,,,,,,,
A Kits,,,,,,,,,
,,,,,,,,,
