"Exhibit P-5, Cost Analysis: PB 2022 Army",,,,,,,,,,,,,,,,,,,Date: May 2021,,,,,,
Appropriation / Budget Activity / Budget Sub Activity: 2032A / 02 / 10,,,,,,,,P-1 Line Item Number / Title: 8930C61001 / INDIRECT FIRE PROTECTION CAPABILITY INC 2-I,,,,,,,,,,,Item Number / Title [DODIC]: C62002 / IFPC INC 2-I BLOCK 1 SYSTEM,,,,,,
"ID Code (A=Service Ready, B=Not Service Ready) :",,,,,,,,,,,,,MDAP/MAIS Code:,,,,,,,,,,,,
Resource Summary,,,,,,Prior Years,,,,FY 2020,,,,FY 2021,,,FY 2022 Base,,,FY 2022 OCO,,,FY 2022 Total,,
Procurement Quantity (Units in Each),,,,,,-,,,,-,,,,-,,,-,,,-,,,-,,
Gross/Weapon System Cost ($ in Millions),,,,,,0.000,,,,40.623,,,,62.461,,,25.253,,,-,,,25.253,,
Less PY Advance Procurement ($ in Millions),,,,,,-,,,,31.286,,,,-,,,-,,,-,,,-,,
Net Procurement (P-1) ($ in Millions),,,,,,0.000,,,,9.337,,,,62.461,,,25.253,,,-,,,25.253,,
Plus CY Advance Procurement ($ in Millions),,,,,,31.286,,,,-,,,,-,,,-,,,-,,,-,,
Total Obligation Authority ($ in Millions),,,,,,31.286,,,,9.337,,,,62.461,,,25.253,,,-,,,25.253,,
(The following Resource Summary rows are for informational purposes only. The corresponding budget requests are documented elsewhere.),,,,,,,,,,,,,,,,,,,,,,,,,
Initial Spares ($ in Millions),,,,,,-,,,,-,,,,-,,,-,,,-,,,-,,
Gross/Weapon System Unit Cost ($ in Thousands),,,,,,-,,,,-,,,,-,,,-,,,-,,,-,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Subtotals or Totals in this Exhibit P-5 may not be exact or sum exactly due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,
Cost Elements,Prior Years,,,FY 2020,,,,,FY 2021,,,,,FY 2022 Base,,,,FY 2022 OCO,,,,FY 2022 Total,,,
,Unit Cost ($ K),Qty (Each),Total Cost ($ M),Unit Cost ($ K),Qty (Each),,Total Cost ($ M),,Unit Cost ($ K),,Qty (Each),Total Cost ($ M),,Unit Cost ($ K),Qty (Each),Total Cost ($ M),,Unit Cost ($ K),Qty (Each),,Total Cost ($ M),Unit Cost ($ K),,Qty (Each),Total Cost ($ M)
Hardware Cost,,,,,,,,,,,,,,,,,,,,,,,,,
Non Recurring Cost,,,,,,,,,,,,,,,,,,,,,,,,,
TAMIR Missiles and Associated Magazines (Reload - 120 EO / 120 EM),-,-,-,-,-,,-,,180.763,,240,43.383,,-,-,-,,-,-,,-,-,,-,-
TAMIR Missiles and Associated Magazines (Training - EM),-,-,-,188.525,40,,7.541,,-,,-,-,,-,-,-,,-,-,,-,-,,-,-
Interim CMD (IDDS- A) Battle Management Center (BMC) Server Replacement,-,-,-,898.000,2,,1.796,,-,,-,-,,-,-,-,,-,-,,-,-,,-,-
Interim CMD (IDDS- A) - ATR realigned FY2019 Advanced Procurement funding to Base to Procure IDDS-A,-,-,-,-,-,,31.286,,-,,-,-,,-,-,-,,-,-,,-,-,,-,-
Subtotal: Non Recurring Cost,-,-,-,-,-,,40.623,,-,,-,43.383,,-,-,-,,-,-,,-,-,,-,-
Subtotal: Hardware Cost,-,-,-,-,-,,40.623,,-,,-,43.383,,-,-,-,,-,-,,-,-,,-,-
Support - Logistics Cost,,,,,,,,,,,,,,,,,,,,,,,,,
Integrated Logistics Support,-,-,-,-,-,,-,,-,,-,19.078,,-,-,25.253,,-,-,,-,-,,-,25.253
,,,,,,,,,,,,,,,,,,,,,,,,,
